Tag,BUSY_SPINS,Rate,NUM_E / NUM_W,EXECUTOR_BW_MBPS,WRITEBACK_EXECUTOR,EXECUTOR_SKEW_WEIGHTS,DISTRIBUTED_TX_RATE,NO_SEND_PAYMENT,Committed TPS,E2E TPS,Command
62f2365,"135,156",25000,1,10000,0,1,0,1,23296,22431,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",50000,2,10000,0,"9,1",0,1,46625,34168,"REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=9,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",75000,3,10000,0,"18,1,1",0,1,69252,57270,"REPLAY_CSV=record_rate75k.csv NUM_WORKERS=3 NUM_EXECUTORS=3 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=18,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",100000,4,10000,0,"27,1,1,1",0,1,93253,79270,"REPLAY_CSV=record_rate100k.csv NUM_WORKERS=4 NUM_EXECUTORS=4 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=27,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",125000,5,10000,0,"36,1,1,1,1",0,1,112103,98755,"REPLAY_CSV=record_rate125k.csv NUM_WORKERS=5 NUM_EXECUTORS=5 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=36,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",150000,6,10000,0,"45,1,1,1,1,1",0,1,129830,112412,"REPLAY_CSV=record_rate150k.csv NUM_WORKERS=6 NUM_EXECUTORS=6 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=45,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",175000,7,10000,0,"54,1,1,1,1,1,1",0,1,150280,137397,"REPLAY_CSV=record_rate175k.csv NUM_WORKERS=7 NUM_EXECUTORS=7 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=54,1,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",200000,8,10000,0,"63,1,1,1,1,1,1,1",0,1,182635,153982,"REPLAY_CSV=record_rate200k.csv NUM_WORKERS=8 NUM_EXECUTORS=8 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=63,1,1,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",25000,1,10000,1,1,0,1,23282,19638,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",50000,2,10000,1,"9,1",0,1,46624,24735,"REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=9,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",75000,3,10000,1,"18,1,1",0,1,69644,26988,"REPLAY_CSV=record_rate75k.csv NUM_WORKERS=3 NUM_EXECUTORS=3 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=18,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
