Tag,BUSY_SPINS,Rate,NUM_E / NUM_W,EXECUTOR_BW_MBPS,WRITEBACK_EXECUTOR,EXECUTOR_SKEW_WEIGHTS,DISTRIBUTED_TX_RATE,NO_SEND_PAYMENT,Committed TPS,E2E TPS,Command
62f2365,"135,156",175000,7,10000,1,"6,1,1,1,1,1,1",0,1,150280,92533,"REPLAY_CSV=record_rate175k.csv NUM_WORKERS=7 NUM_EXECUTORS=7 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=6,1,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",200000,8,10000,1,"7,1,1,1,1,1,1,1",0,1,181981,100221,"REPLAY_CSV=record_rate200k.csv NUM_WORKERS=8 NUM_EXECUTORS=8 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=7,1,1,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",25000,1,10000,0,1,0.2,0,23296,22412,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",50000,2,10000,0,"1,1",0.2,0,46625,42623,"REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",75000,3,10000,0,"2,1,1",0.2,0,69642,60202,"REPLAY_CSV=record_rate75k.csv NUM_WORKERS=3 NUM_EXECUTORS=3 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=2,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",100000,4,10000,0,"3,1,1,1",0.2,0,93254,76262,"REPLAY_CSV=record_rate100k.csv NUM_WORKERS=4 NUM_EXECUTORS=4 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=3,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",125000,5,10000,0,"4,1,1,1,1",0.2,0,112102,92831,"REPLAY_CSV=record_rate125k.csv NUM_WORKERS=5 NUM_EXECUTORS=5 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=4,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",150000,6,10000,0,"5,1,1,1,1,1",0.2,0,129823,105311,"REPLAY_CSV=record_rate150k.csv NUM_WORKERS=6 NUM_EXECUTORS=6 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=5,1,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
61fb34a,"135,156",175000,7,10000,0,"6,1,1,1,1,1,1",0.2,0,150280,123572,"REPLAY_CSV=record_rate175k.csv NUM_WORKERS=7 NUM_EXECUTORS=7 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=6,1,1,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
61fb34a,"135,156",200000,8,10000,0,"7,1,1,1,1,1,1,1",0.2,0,182633,138593,"REPLAY_CSV=record_rate200k.csv NUM_WORKERS=8 NUM_EXECUTORS=8 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=7,1,1,1,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
61fb34a,"135,156",25000,1,10000,1,1,0.2,0,23296,19489,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor
61fb34a,"135,156",50000,2,10000,1,"1,1",0.2,0,46625,37946,"REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor"
61fb34a,"135,156",75000,3,10000,1,"2,1,1",0.2,0,69643,50350,"REPLAY_CSV=record_rate75k.csv NUM_WORKERS=3 NUM_EXECUTORS=3 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=2,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor"
61fb34a,"135,156",100000,4,10000,1,"3,1,1,1",0.2,0,93252,58678,"REPLAY_CSV=record_rate100k.csv NUM_WORKERS=4 NUM_EXECUTORS=4 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=3,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor"
61fb34a,"135,156",125000,5,10000,1,"4,1,1,1,1",0.2,0,112103,65040,"REPLAY_CSV=record_rate125k.csv NUM_WORKERS=5 NUM_EXECUTORS=5 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=4,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor"
61fb34a,"135,156",150000,6,10000,1,"5,1,1,1,1,1",0.2,0,131171,68928,"REPLAY_CSV=record_rate150k.csv NUM_WORKERS=6 NUM_EXECUTORS=6 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=5,1,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor"
61fb34a,"135,156",175000,7,10000,1,"6,1,1,1,1,1,1",0.2,0,150278,72559,"REPLAY_CSV=record_rate175k.csv NUM_WORKERS=7 NUM_EXECUTORS=7 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=6,1,1,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor"
61fb34a,"135,156",200000,8,10000,1,"7,1,1,1,1,1,1,1",0.2,0,182637,75720,"REPLAY_CSV=record_rate200k.csv NUM_WORKERS=8 NUM_EXECUTORS=8 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=0 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=7,1,1,1,1,1,1,1 DISTRIBUTED_TX_RATE=0.2 fab cloudlab-replay --username zpkhor"
