seed,scheduler,tx_size_dist,batch_size,num_executors,avg_remote_reads_per_batch,avg_runtime_per_batch_s
1000,best_program,heavy,512,20,3142.8,0.001367
1000,paper,heavy,512,20,3231.6,4.532043
1000,best_program,heavy,1000,4,3913.8,0.002856
1000,paper,heavy,1000,4,3843.6,2.449573
1000,best_program,heavy,1000,8,5121.0,0.002712
1000,paper,heavy,1000,8,5328.2,4.72358
1000,best_program,heavy,1000,16,5888.2,0.00274
1000,paper,heavy,1000,16,6122.4,9.728155
1000,best_program,heavy,1000,20,5908.8,0.002998
1000,paper,heavy,1000,20,6185.6,12.490812
2000,best_program,medium,128,4,257.8,0.000239
2000,paper,medium,128,4,212.8,0.030011
2000,best_program,medium,128,8,320.8,0.000231
2000,paper,medium,128,8,288.2,0.0676
2000,best_program,medium,128,16,359.8,0.000259
2000,paper,medium,128,16,329.8,0.124067
2000,best_program,medium,128,20,367.0,0.000264
2000,paper,medium,128,20,338.6,0.159801
2000,best_program,medium,256,4,470.2,0.000429
2000,paper,medium,256,4,373.8,0.088388
2000,best_program,medium,256,8,603.6,0.000466
2000,paper,medium,256,8,527.4,0.215632
2000,best_program,medium,256,16,696.4,0.00078
2000,paper,medium,256,16,636.2,0.429533
2000,best_program,medium,256,20,725.2,0.000645
2000,paper,medium,256,20,652.4,0.527995
2000,best_program,medium,512,4,988.6,0.000859
2000,paper,medium,512,4,709.6,0.262241
2000,best_program,medium,512,8,1225.0,0.000852
2000,paper,medium,512,8,1016.2,0.678886
2000,best_program,medium,512,16,1406.2,0.000875
2000,paper,medium,512,16,1271.0,1.490465
2000,best_program,medium,512,20,1434.6,0.000879
2000,paper,medium,512,20,1295.8,1.810851
2000,best_program,medium,1000,4,1989.8,0.001648
2000,paper,medium,1000,4,1325.4,0.895284
2000,best_program,medium,1000,8,2389.2,0.001588
2000,paper,medium,1000,8,1897.0,2.19946
2000,best_program,medium,1000,16,2736.8,0.001712
2000,paper,medium,1000,16,2431.6,4.788777
2000,best_program,medium,1000,20,2806.6,0.001596
2000,paper,medium,1000,20,2551.8,6.138664
2000,best_program,heavy,128,4,590.4,0.000354
2000,paper,heavy,128,4,531.0,0.089805
