seed,scheduler,tx_size_dist,cross_shard_prob,overlap_prob,zipf_alpha,avg_remote_reads_per_batch,avg_runtime_per_batch_s
0,paper,medium,0.75,0.6,1.2,1892.4,2.189573
0,best_program,medium,0.75,0.9,0.8,2372.2,0.001861
0,paper,medium,0.75,0.9,0.8,2144.4,2.000842
0,best_program,medium,0.75,0.9,1.2,2470.4,0.001665
0,paper,medium,0.75,0.9,1.2,1955.4,2.370091
0,best_program,heavy,0.25,0.0,0.8,5426.6,0.003753
0,paper,heavy,0.25,0.0,0.8,5092.0,4.346197
0,best_program,heavy,0.25,0.0,1.2,5175.0,0.002715
0,paper,heavy,0.25,0.0,1.2,5211.0,4.531293
0,best_program,heavy,0.25,0.3,0.8,5488.6,0.003312
0,paper,heavy,0.25,0.3,0.8,5089.6,4.188514
0,best_program,heavy,0.25,0.3,1.2,5236.6,0.002858
0,paper,heavy,0.25,0.3,1.2,5342.8,4.820616
0,best_program,heavy,0.25,0.6,0.8,5481.8,0.00313
0,paper,heavy,0.25,0.6,0.8,5045.6,4.232335
0,best_program,heavy,0.25,0.6,1.2,5005.4,0.002569
0,paper,heavy,0.25,0.6,1.2,5283.0,4.823499
0,best_program,heavy,0.25,0.9,0.8,5601.6,0.003007
0,paper,heavy,0.25,0.9,0.8,5159.0,4.316994
0,best_program,heavy,0.25,0.9,1.2,5001.8,0.002523
0,paper,heavy,0.25,0.9,1.2,5416.4,5.112577
0,best_program,heavy,0.5,0.0,0.8,5415.8,0.003347
0,paper,heavy,0.5,0.0,0.8,5070.0,4.040935
0,best_program,heavy,0.5,0.0,1.2,5310.6,0.002754
0,paper,heavy,0.5,0.0,1.2,5313.2,4.789056
0,best_program,heavy,0.5,0.3,0.8,5474.4,0.003553
0,paper,heavy,0.5,0.3,0.8,5079.8,4.289382
0,best_program,heavy,0.5,0.3,1.2,5204.8,0.003897
0,paper,heavy,0.5,0.3,1.2,5367.8,5.123243
0,best_program,heavy,0.5,0.6,0.8,5498.8,0.003341
0,paper,heavy,0.5,0.6,0.8,5083.0,4.560055
0,best_program,heavy,0.5,0.6,1.2,5049.2,0.002604
0,paper,heavy,0.5,0.6,1.2,5455.4,4.807394
0,best_program,heavy,0.5,0.9,0.8,5542.0,0.00313
0,paper,heavy,0.5,0.9,0.8,5079.2,4.125511
0,best_program,heavy,0.5,0.9,1.2,4829.8,0.002556
0,paper,heavy,0.5,0.9,1.2,5221.2,4.707524
0,best_program,heavy,0.75,0.0,0.8,5396.4,0.003451
0,paper,heavy,0.75,0.0,0.8,5021.0,4.007208
0,best_program,heavy,0.75,0.0,1.2,5391.4,0.003081
0,paper,heavy,0.75,0.0,1.2,5368.4,4.667079
0,best_program,heavy,0.75,0.3,0.8,5478.6,0.00328
0,paper,heavy,0.75,0.3,0.8,5060.6,4.188007
0,best_program,heavy,0.75,0.3,1.2,5202.2,0.002819
0,paper,heavy,0.75,0.3,1.2,5325.0,4.606131
0,best_program,heavy,0.75,0.6,0.8,5487.8,0.00315
0,paper,heavy,0.75,0.6,0.8,5073.4,4.392777
0,best_program,heavy,0.75,0.6,1.2,5222.8,0.002593
0,paper,heavy,0.75,0.6,1.2,5364.8,4.887923
0,best_program,heavy,0.75,0.9,0.8,5527.6,0.003069
0,paper,heavy,0.75,0.9,0.8,5070.2,4.210571
0,best_program,heavy,0.75,0.9,1.2,5134.2,0.002581
0,paper,heavy,0.75,0.9,1.2,5299.6,4.906406
1000,best_program,light,0.25,0.0,0.8,1145.0,0.001599
1000,paper,light,0.25,0.0,0.8,1128.8,1.48346
1000,best_program,light,0.25,0.0,1.2,1318.6,0.001406
1000,paper,light,0.25,0.0,1.2,872.8,1.330173
1000,best_program,light,0.25,0.3,0.8,1177.8,0.001489
1000,paper,light,0.25,0.3,0.8,1121.6,1.331835
1000,best_program,light,0.25,0.3,1.2,1364.6,0.001323
1000,paper,light,0.25,0.3,1.2,845.2,1.369188
1000,best_program,light,0.25,0.6,0.8,1214.6,0.001472
1000,paper,light,0.25,0.6,0.8,1125.6,1.313241
1000,best_program,light,0.25,0.6,1.2,1402.4,0.00128
1000,paper,light,0.25,0.6,1.2,907.2,1.327514
1000,best_program,light,0.25,0.9,0.8,1272.4,0.001407
1000,paper,light,0.25,0.9,0.8,1098.0,1.395004
1000,best_program,light,0.25,0.9,1.2,1383.8,0.001561
1000,paper,light,0.25,0.9,1.2,854.4,1.318645
1000,best_program,light,0.5,0.0,0.8,1135.8,0.001579
1000,paper,light,0.5,0.0,0.8,1111.8,1.313949
1000,best_program,light,0.5,0.0,1.2,1326.8,0.001374
1000,paper,light,0.5,0.0,1.2,865.2,1.29106
1000,best_program,light,0.5,0.3,0.8,1154.4,0.001553
1000,paper,light,0.5,0.3,0.8,1082.6,1.301559
1000,best_program,light,0.5,0.3,1.2,1347.2,0.001359
1000,paper,light,0.5,0.3,1.2,874.2,1.280621
1000,best_program,light,0.5,0.6,0.8,1215.4,0.001501
1000,paper,light,0.5,0.6,0.8,1079.2,1.260624
1000,best_program,light,0.5,0.6,1.2,1400.4,0.001311
1000,paper,light,0.5,0.6,1.2,877.6,1.285669
1000,best_program,light,0.5,0.9,0.8,1289.0,0.001468
1000,paper,light,0.5,0.9,0.8,1098.2,1.2555
1000,best_program,light,0.5,0.9,1.2,1400.4,0.001253
1000,paper,light,0.5,0.9,1.2,849.2,1.278714
1000,best_program,light,0.75,0.0,0.8,1151.4,0.001608
1000,paper,light,0.75,0.0,0.8,1115.2,1.311157
1000,best_program,light,0.75,0.0,1.2,1325.6,0.002818
1000,paper,light,0.75,0.0,1.2,842.4,1.285172
1000,best_program,light,0.75,0.3,0.8,1193.0,0.00161
1000,paper,light,0.75,0.3,0.8,1125.6,1.248932
1000,best_program,light,0.75,0.3,1.2,1345.6,0.001363
1000,paper,light,0.75,0.3,1.2,867.0,1.260304
1000,best_program,light,0.75,0.6,0.8,1233.0,0.001511
1000,paper,light,0.75,0.6,0.8,1114.6,1.244799
1000,best_program,light,0.75,0.6,1.2,1359.8,0.001544
1000,paper,light,0.75,0.6,1.2,864.2,1.363954
1000,best_program,light,0.75,0.9,0.8,1285.2,0.001438
1000,paper,light,0.75,0.9,0.8,1120.0,1.260905
1000,best_program,light,0.75,0.9,1.2,1371.4,0.001268
1000,paper,light,0.75,0.9,1.2,846.8,1.24417
1000,best_program,medium,0.25,0.0,0.8,2336.2,0.00211
1000,paper,medium,0.25,0.0,0.8,2226.8,2.014765
1000,best_program,medium,0.25,0.0,1.2,2524.2,0.001736
1000,paper,medium,0.25,0.0,1.2,2018.4,2.171147
1000,best_program,medium,0.25,0.3,0.8,2344.0,0.002571
1000,paper,medium,0.25,0.3,0.8,2188.2,2.052509
1000,best_program,medium,0.25,0.3,1.2,2459.6,0.001626
1000,paper,medium,0.25,0.3,1.2,2009.8,2.334868
1000,best_program,medium,0.25,0.6,0.8,2346.6,0.001956
1000,paper,medium,0.25,0.6,0.8,2156.6,1.961223
1000,best_program,medium,0.25,0.6,1.2,2386.2,0.001607
1000,paper,medium,0.25,0.6,1.2,1952.2,2.206955
1000,best_program,medium,0.25,0.9,0.8,2387.8,0.001937
1000,paper,medium,0.25,0.9,0.8,2189.8,1.993065
1000,best_program,medium,0.25,0.9,1.2,2417.6,0.001586
1000,paper,medium,0.25,0.9,1.2,1945.0,2.323167
1000,best_program,medium,0.5,0.0,0.8,2325.6,0.002369
1000,paper,medium,0.5,0.0,0.8,2198.8,2.040261
1000,best_program,medium,0.5,0.0,1.2,2441.2,0.001831
1000,paper,medium,0.5,0.0,1.2,1977.8,2.292118
1000,best_program,medium,0.5,0.3,0.8,2294.0,0.002065
1000,paper,medium,0.5,0.3,0.8,2152.4,2.017331
1000,best_program,medium,0.5,0.3,1.2,2448.0,0.00194
1000,paper,medium,0.5,0.3,1.2,1984.4,2.30278
1000,best_program,medium,0.5,0.6,0.8,2348.0,0.002054
1000,paper,medium,0.5,0.6,0.8,2152.4,1.987204
1000,best_program,medium,0.5,0.6,1.2,2416.2,0.001689
1000,paper,medium,0.5,0.6,1.2,1949.4,2.273028
1000,best_program,medium,0.5,0.9,0.8,2376.2,0.001988
1000,paper,medium,0.5,0.9,0.8,2132.4,1.917539
1000,best_program,medium,0.5,0.9,1.2,2378.0,0.001676
1000,paper,medium,0.5,0.9,1.2,1906.8,2.216294
1000,best_program,medium,0.75,0.0,0.8,2286.0,0.002122
1000,paper,medium,0.75,0.0,0.8,2160.6,1.962062
1000,best_program,medium,0.75,0.0,1.2,2466.2,0.001832
1000,paper,medium,0.75,0.0,1.2,1972.4,2.292354
1000,best_program,medium,0.75,0.3,0.8,2290.0,0.002052
1000,paper,medium,0.75,0.3,0.8,2126.4,1.937352
1000,best_program,medium,0.75,0.3,1.2,2435.0,0.001715
